user_id,age,gender,persona
1,58,M,Health Nut
2,65,F,Budget Shopper
3,32,M,Health Nut
4,61,NB,Impulse Buyer
5,23,NB,Gourmet
6,20,M,Health Nut
7,31,M,Impulse Buyer
8,56,M,Impulse Buyer
9,30,NB,Impulse Buyer
10,44,M,Gourmet
11,55,F,Health Nut
12,66,M,Gourmet
13,39,F,Budget Shopper
14,31,F,Health Nut
15,23,F,Health Nut
16,40,F,Impulse Buyer
17,34,M,Gourmet
18,52,M,Gourmet
19,23,NB,Parent
20,71,NB,Impulse Buyer
21,74,F,Impulse Buyer
22,30,NB,Health Nut
23,20,NB,Budget Shopper
24,67,F,Health Nut
25,72,M,Health Nut
26,42,F,Gourmet
27,58,F,Budget Shopper
28,41,F,Budget Shopper
29,60,F,Health Nut
30,56,NB,Budget Shopper
31,52,NB,Budget Shopper
32,28,F,Gourmet
33,35,NB,Impulse Buyer
34,32,NB,Parent
35,71,M,Budget Shopper
36,70,M,Parent
37,43,F,Health Nut
38,31,NB,Parent
39,31,NB,Gourmet
40,43,NB,Gourmet
41,27,F,Budget Shopper
42,33,NB,Impulse Buyer
43,52,F,Impulse Buyer
44,45,NB,Gourmet
45,41,M,Budget Shopper
46,50,F,Health Nut
47,66,M,Health Nut
48,27,NB,Budget Shopper
49,68,NB,Gourmet
50,56,M,Gourmet
51,42,NB,Gourmet
52,51,F,Impulse Buyer
53,73,M,Health Nut
54,61,NB,Parent
55,67,NB,Parent
56,25,F,Gourmet
57,28,F,Health Nut
58,64,NB,Parent
59,50,M,Impulse Buyer
60,24,NB,Parent
61,71,NB,Impulse Buyer
62,56,M,Budget Shopper
63,41,M,Impulse Buyer
64,67,NB,Health Nut
65,56,F,Gourmet
66,19,M,Parent
67,74,F,Budget Shopper
68,21,M,Impulse Buyer
69,23,M,Gourmet
70,70,M,Impulse Buyer
71,67,M,Budget Shopper
72,60,F,Impulse Buyer
73,28,F,Impulse Buyer
74,73,NB,Gourmet
75,31,NB,Budget Shopper
76,63,F,Gourmet
77,60,NB,Parent
78,46,NB,Gourmet
79,25,M,Budget Shopper
80,22,F,Health Nut
81,55,NB,Budget Shopper
82,55,M,Health Nut
83,22,NB,Health Nut
84,32,M,Health Nut
85,73,F,Health Nut
86,50,M,Parent
87,60,F,Budget Shopper
88,52,M,Impulse Buyer
89,54,F,Budget Shopper
90,68,F,Gourmet
91,30,M,Health Nut
92,60,F,Parent
93,45,F,Gourmet
94,73,NB,Health Nut
95,61,NB,Health Nut
96,21,F,Parent
97,69,M,Budget Shopper
98,30,M,Impulse Buyer
99,46,M,Gourmet
100,29,F,Gourmet
101,33,M,Gourmet
102,69,NB,Health Nut
103,21,NB,Impulse Buyer
104,71,M,Health Nut
105,66,M,Budget Shopper
106,44,F,Gourmet
107,31,F,Health Nut
108,28,F,Health Nut
109,42,F,Gourmet
110,36,F,Impulse Buyer
111,60,NB,Gourmet
112,27,M,Parent
113,31,M,Impulse Buyer
114,65,NB,Health Nut
115,65,F,Health Nut
116,21,NB,Gourmet
117,50,NB,Budget Shopper
118,21,NB,Health Nut
119,72,M,Health Nut
120,56,M,Budget Shopper
121,43,M,Impulse Buyer
122,33,NB,Impulse Buyer
123,20,NB,Health Nut
124,44,NB,Impulse Buyer
125,54,NB,Parent
126,34,M,Parent
127,33,F,Gourmet
128,26,NB,Parent
129,47,F,Health Nut
130,18,F,Impulse Buyer
131,54,M,Health Nut
132,52,M,Impulse Buyer
133,34,M,Parent
134,74,M,Budget Shopper
135,41,F,Budget Shopper
136,46,NB,Parent
137,57,NB,Impulse Buyer
138,18,NB,Impulse Buyer
139,37,NB,Health Nut
140,74,M,Parent
141,25,M,Impulse Buyer
142,27,F,Parent
143,56,M,Parent
144,31,NB,Parent
145,50,F,Parent
146,75,M,Health Nut
147,58,F,Parent
148,20,M,Parent
149,67,M,Parent
150,28,NB,Gourmet
151,53,NB,Gourmet
152,53,M,Health Nut
153,22,NB,Budget Shopper
154,52,M,Parent
155,55,NB,Budget Shopper
156,45,M,Health Nut
157,37,F,Health Nut
158,75,F,Budget Shopper
159,61,M,Health Nut
160,40,NB,Gourmet
161,57,NB,Budget Shopper
162,33,M,Budget Shopper
163,74,F,Health Nut
164,29,NB,Parent
165,68,F,Budget Shopper
166,35,M,Health Nut
167,42,M,Gourmet
168,32,M,Gourmet
169,40,F,Budget Shopper
170,32,M,Budget Shopper
171,43,F,Parent
172,73,M,Parent
173,40,NB,Impulse Buyer
174,43,NB,Impulse Buyer
175,39,M,Health Nut
176,74,F,Budget Shopper
177,55,F,Health Nut
178,24,NB,Gourmet
179,40,NB,Parent
180,45,NB,Impulse Buyer
181,25,F,Impulse Buyer
182,30,F,Health Nut
183,63,F,Health Nut
184,51,NB,Budget Shopper
185,41,F,Health Nut
186,60,F,Impulse Buyer
187,38,NB,Health Nut
188,64,F,Impulse Buyer
189,37,NB,Gourmet
190,38,F,Parent
191,53,M,Budget Shopper
192,44,NB,Gourmet
193,61,NB,Budget Shopper
194,57,NB,Parent
195,43,NB,Health Nut
196,37,F,Budget Shopper
197,45,NB,Impulse Buyer
198,59,F,Gourmet
199,46,F,Budget Shopper
200,50,F,Budget Shopper
201,60,M,Parent
202,50,NB,Impulse Buyer
203,39,M,Budget Shopper
204,61,F,Budget Shopper
205,69,M,Budget Shopper
206,19,M,Budget Shopper
207,48,NB,Health Nut
208,47,F,Impulse Buyer
209,30,NB,Gourmet
210,49,F,Budget Shopper
211,27,NB,Health Nut
212,75,M,Gourmet
213,32,M,Impulse Buyer
214,47,M,Impulse Buyer
215,33,M,Gourmet
216,26,F,Impulse Buyer
217,53,NB,Parent
218,66,F,Impulse Buyer
219,70,NB,Impulse Buyer
220,45,NB,Gourmet
221,75,M,Gourmet
222,46,F,Budget Shopper
223,71,NB,Parent
224,67,NB,Gourmet
225,58,M,Parent
226,46,M,Parent
227,33,F,Parent
228,38,NB,Health Nut
229,26,M,Budget Shopper
230,42,NB,Budget Shopper
231,63,M,Health Nut
232,44,F,Parent
233,52,F,Gourmet
234,21,M,Gourmet
235,42,NB,Health Nut
236,72,NB,Gourmet
237,48,M,Parent
238,37,F,Gourmet
239,52,NB,Impulse Buyer
240,69,NB,Budget Shopper
241,49,M,Parent
242,45,F,Health Nut
243,42,F,Gourmet
244,64,M,Gourmet
245,26,NB,Impulse Buyer
246,19,F,Impulse Buyer
247,54,NB,Health Nut
248,23,NB,Gourmet
249,26,F,Budget Shopper
250,21,F,Gourmet
251,38,M,Gourmet
252,38,F,Gourmet
253,35,F,Parent
254,71,M,Gourmet
255,19,NB,Impulse Buyer
256,21,F,Budget Shopper
257,59,M,Health Nut
258,66,M,Budget Shopper
259,30,M,Impulse Buyer
260,27,M,Budget Shopper
261,48,NB,Health Nut
262,54,M,Gourmet
263,62,F,Parent
264,28,NB,Impulse Buyer
265,65,NB,Health Nut
266,67,M,Parent
267,24,NB,Health Nut
268,37,NB,Gourmet
269,43,NB,Budget Shopper
270,22,NB,Budget Shopper
271,24,NB,Parent
272,72,NB,Impulse Buyer
273,69,M,Impulse Buyer
274,68,M,Parent
275,52,F,Parent
276,22,NB,Parent
277,18,F,Gourmet
278,24,F,Parent
279,58,F,Budget Shopper
280,45,M,Impulse Buyer
281,59,F,Impulse Buyer
